id;total_amount;date;generic_sub_items_purchased;cost_sub_items_purchased;number_of_memberships;donation;notes
1;2849;2021-05-31;approach Polarised;16431;99701;87407;Representative B2B
2;83454;2021-05-30;cross-platform grow;1914;63291;78266;implement Haiti
3;99633;2021-05-30;embrace;28894;27354;60550;holistic
4;3216;2021-05-30;payment Zimbabwe;8015;76616;3847;compressing e-tailers
5;98576;2021-05-31;navigating virtual;10624;2755;99687;digital Gourde Tools
6;78509;2021-05-31;Berkshire programming;84148;89810;39480;withdrawal Cloned
7;72853;2021-05-31;enable;81669;55214;18074;optical olive overriding
8;1085;2021-05-30;full-range Dynamic generation;39123;60529;88660;Cambridgeshire JSON Montana
9;71555;2021-05-31;SSL Tools parsing;88171;97414;45678;holistic
10;21281;2021-05-31;intangible SCSI;1477;98464;68877;Producer
